year,borough,complaint_type,count
2010,Brooklyn,Posting Advertisement,139
2010,Brooklyn,Safety,123
2010,Brooklyn,Urinating in Public,114
2010,Brooklyn,Cranes and Derricks,110
2010,Brooklyn,HEATING,109
2010,Brooklyn,Animal in a Park,102
2010,Brooklyn,Bike/Roller/Skate Chronic,95
2010,Brooklyn,Scaffold Safety,93
2010,Brooklyn,City Vehicle Placard Complaint,89
2010,Brooklyn,Bus Stop Shelter Placement,77
2010,Brooklyn,Illegal Animal Kept as Pet,72
2010,Brooklyn,Forensic Engineering,69
2010,Brooklyn,Senior Center Complaint,68
2010,Brooklyn,Violation of Park Rules,67
2010,Brooklyn,Discipline and Suspension,65
2010,Brooklyn,Teaching/Learning/Instruction,57
2010,Brooklyn,Illegal Fireworks,56
2010,Brooklyn,Derelict Bicycle,47
2010,Brooklyn,Harboring Bees/Wasps,44
2010,Brooklyn,Miscellaneous Categories,40
2010,Brooklyn,Beach/Pool/Sauna Complaint,39
2010,Brooklyn,Summer Camp,38
2010,Brooklyn,Collection Truck Noise,36
2010,Brooklyn,Registration and Transfers,35
2010,Brooklyn,Tattooing,34
2010,Brooklyn,Drinking Water,28
2010,Brooklyn,Mold,25
2010,Brooklyn,Municipal Parking Facility,25
2010,Brooklyn,Health,25
2010,Brooklyn,GENERAL CONSTRUCTION,24
2010,Brooklyn,Found Property,23
2010,Brooklyn,Animal Facility - No Permit,23
2010,Brooklyn,PLUMBING,17
2010,Brooklyn,Highway Sign - Damaged,16
2010,Brooklyn,Highway Sign - Missing,15
2010,Brooklyn,Unsanitary Animal Facility,14
2010,Brooklyn,Public Toilet,14
2010,Brooklyn,Panhandling,12
2010,Brooklyn,Water Maintenance,11
2010,Brooklyn,Illegal Animal Sold,9
2010,Brooklyn,Poison Ivy,9
2010,Brooklyn,Calorie Labeling,7
2010,Brooklyn,Highway Sign - Dangling,6
2010,Brooklyn,NONCONST,6
2010,Brooklyn,GENERAL,5
2010,Brooklyn,PAINT/PLASTER,5
2010,Brooklyn,Adopt-A-Basket,5
2010,Brooklyn,Bike Rack Condition,5
2010,Brooklyn,Bottled Water,5
2010,Brooklyn,Legal Services Provider Complaint,5
2010,Brooklyn,No Child Left Behind,4
2010,Brooklyn,APPLIANCE,3
2010,Brooklyn,ELECTRIC,3
2010,Brooklyn,PAINT - PLASTER,3
2010,Brooklyn,Radioactive Material,2
2010,Brooklyn,Transportation Provider Complaint,2
2010,Brooklyn,CONSTRUCTION,2
2010,Brooklyn,Portable Toilet,2
2010,Brooklyn,Parent Leadership,2
2010,Brooklyn,Lifeguard,1
2010,Brooklyn,X-Ray Machine/Equipment,1
2010,Brooklyn,Trans Fat,1
2010,Brooklyn,Hazardous Material,1
2010,Manhattan,Noise - Residential,24852
2010,Manhattan,Street Condition,20368
2010,Manhattan,Taxi Complaint,15546
2010,Manhattan,Noise,13979
2010,Manhattan,Water System,12776
2010,Manhattan,General Construction/Plumbing,11387
2010,Manhattan,Broken Muni Meter,10473
2010,Manhattan,Noise - Commercial,8845
2010,Manhattan,Noise - Street/Sidewalk,7723
2010,Manhattan,Graffiti,5989
2010,Manhattan,Rodent,4870
2010,Manhattan,Noise - Vehicle,4810
2010,Manhattan,Dirty Conditions,4717
2010,Manhattan,Consumer Complaint,4334
2010,Manhattan,Illegal Parking,3976
2010,Manhattan,Sidewalk Condition,3433
2010,Manhattan,Sewer,3418
2010,Manhattan,Air Quality,3091
2010,Manhattan,Lead,3076
2010,Manhattan,Traffic/Illegal Parking,3061
2010,Manhattan,Sanitation Condition,2511
2010,Manhattan,Street Light Condition,2398
2010,Manhattan,Vending,2340
2010,Manhattan,Food Establishment,2333
2010,Manhattan,Elevator,2155
2010,Manhattan,Building/Use,1961
2010,Manhattan,Traffic Signal Condition,1898
2010,Manhattan,Indoor Air Quality,1885
2010,Manhattan,Blocked Driveway,1720
2010,Manhattan,Broken Parking Meter,1470
2010,Manhattan,New Tree Request,1369
2010,Manhattan,Special Projects Inspection Team (SPIT),1320
2010,Manhattan,Missed Collection (All Materials),1290
2010,Manhattan,Other Enforcement,1278
2010,Manhattan,Damaged Tree,1093
2010,Manhattan,Noise - Park,1029
2010,Manhattan,Street Sign - Damaged,993
2010,Manhattan,Electrical,983
2010,Manhattan,Food Poisoning,969
2010,Manhattan,Maintenance or Facility,964
2010,Manhattan,Homeless Encampment,906
2010,Manhattan,Emergency Response Team (ERT),867
2010,Manhattan,Non-Emergency Police Matter,849
2010,Manhattan,Traffic,826
2010,Manhattan,Snow,783
2010,Manhattan,Plumbing,750
2010,Manhattan,Dead Tree,732
2010,Manhattan,Smoking,712
2010,Manhattan,Asbestos,667
2010,Manhattan,For Hire Vehicle Complaint,628
2010,Manhattan,Overgrown Tree/Branches,626
2010,Manhattan,School Maintenance,562
2010,Manhattan,Derelict Vehicle,559
2010,Manhattan,Bus Stop Shelter Complaint,521
2010,Manhattan,Boilers,511
2010,Manhattan,Hazardous Materials,501
2010,Manhattan,Street Sign - Missing,500
2010,Manhattan,Litter Basket / Request,485
2010,Manhattan,Found Property,460
2010,Manhattan,Illegal Tree Damage,451
2010,Manhattan,BEST/Site Safety,443
2010,Manhattan,Public Payphone Complaint,412
2010,Manhattan,Investigations and Discipline (IAD),407
2010,Manhattan,Recycling Enforcement,403
2010,Manhattan,Non-Residential Heat,384
2010,Manhattan,Highway Condition,373
2010,Manhattan,Disorderly Youth,367
2010,Manhattan,Derelict Vehicles,366
2010,Manhattan,Drinking,361
2010,Manhattan,Street Sign - Dangling,315
2010,Manhattan,Water Conservation,303
2010,Manhattan,Industrial Waste,302
2010,Manhattan,Noise - House of Worship,275
2010,Manhattan,Bike/Roller/Skate Chronic,265
2010,Manhattan,Unsanitary Animal Pvt Property,259
2010,Manhattan,Overflowing Litter Baskets,249
2010,Manhattan,Curb Condition,248
2010,Manhattan,Unsanitary Pigeon Condition,224
2010,Manhattan,Water Quality,193
2010,Manhattan,Root/Sewer/Sidewalk Condition,189
2010,Manhattan,Noise - Helicopter,187
2010,Manhattan,Animal in a Park,180
2010,Manhattan,Bridge Condition,174
2010,Manhattan,Scaffold Safety,155
2010,Manhattan,Unleashed Dog,155
2010,Manhattan,Cranes and Derricks,141
2010,Manhattan,Violation of Park Rules,137
2010,Manhattan,Window Guard,137
2010,Manhattan,Sweeping/Missed-Inadequate,136
2010,Manhattan,Urinating in Public,126
2010,Manhattan,City Vehicle Placard Complaint,106
2010,Manhattan,Bus Stop Shelter Placement,97
2010,Manhattan,Posting Advertisement,92
2010,Manhattan,Senior Center Complaint,91
2010,Manhattan,HEATING,88
2010,Manhattan,Stalled Sites,82
2010,Manhattan,Panhandling,77
2010,Manhattan,Vacant Lot,69
2010,Manhattan,Forensic Engineering,67
2010,Manhattan,Miscellaneous Categories,61
2010,Manhattan,Beach/Pool/Sauna Complaint,59
2010,Manhattan,Collection Truck Noise,52
2010,Manhattan,Mold,48
2010,Manhattan,Illegal Fireworks,42
2010,Manhattan,Unsanitary Animal Facility,41
2010,Manhattan,Teaching/Learning/Instruction,36
2010,Manhattan,Discipline and Suspension,36
2010,Manhattan,Safety,34
2010,Manhattan,Derelict Bicycle,33
2010,Manhattan,OEM Disabled Vehicle,33
2010,Manhattan,Animal Facility - No Permit,30
2010,Manhattan,Public Toilet,27
2010,Manhattan,Tattooing,26
2010,Manhattan,Illegal Animal Kept as Pet,23
2010,Manhattan,Plant,20
2010,Manhattan,Adopt-A-Basket,19
2010,Manhattan,Drinking Water,17
2010,Manhattan,Calorie Labeling,16
2010,Manhattan,Health,15
2010,Manhattan,PLUMBING,14
2010,Manhattan,Harboring Bees/Wasps,13
2010,Manhattan,Summer Camp,13
2010,Manhattan,Highway Sign - Damaged,12
2010,Manhattan,Bike Rack Condition,12
2010,Manhattan,Illegal Animal Sold,11
2010,Manhattan,GENERAL CONSTRUCTION,11
2010,Manhattan,PAINT - PLASTER,10
2010,Manhattan,Registration and Transfers,10
2010,Manhattan,Municipal Parking Facility,9
2010,Manhattan,Lifeguard,8
2010,Manhattan,Squeegee,8
2010,Manhattan,Legal Services Provider Complaint,8
2010,Manhattan,Parent Leadership,6
2010,Manhattan,APPLIANCE,5
2010,Manhattan,Bottled Water,5
2010,Manhattan,NONCONST,5
2010,Manhattan,Portable Toilet,5
2010,Manhattan,Highway Sign - Missing,4
2010,Manhattan,ELECTRIC,3
2010,Manhattan,Highway Sign - Dangling,3
2010,Manhattan,Poison Ivy,3
2010,Manhattan,Radioactive Material,3
2010,Manhattan,Trans Fat,3
2010,Manhattan,Taxi Compliment,2
2010,Manhattan,X-Ray Machine/Equipment,2
2010,Manhattan,DOF Parking - Payment Issue,1
2010,Manhattan,Trapping Pigeon,1
2010,Manhattan,CONSTRUCTION,1
2010,Manhattan,No Child Left Behind,1
2010,Manhattan,Hazardous Material,1
2010,Queens,Street Light Condition,27193
2010,Queens,Street Condition,26146
2010,Queens,Noise - Residential,22187
2010,Queens,Blocked Driveway,20446
2010,Queens,Damaged Tree,20116
2010,Queens,Water System,19089
2010,Queens,Sewer,18461
2010,Queens,Building/Use,14151
2010,Queens,General Construction/Plumbing,13002
2010,Queens,Dirty Conditions,12671
2010,Queens,Traffic Signal Condition,10774
2010,Queens,Sanitation Condition,8434
2010,Queens,Derelict Vehicle,6786
2010,Queens,Overgrown Tree/Branches,6210
2010,Queens,Illegal Parking,5844
2010,Queens,Missed Collection (All Materials),5727
2010,Queens,Dead Tree,5150
2010,Queens,Noise,4903
2010,Queens,Sidewalk Condition,4677
2010,Queens,Consumer Complaint,4235
2010,Queens,Rodent,4130
2010,Queens,Root/Sewer/Sidewalk Condition,4025
2010,Queens,Traffic/Illegal Parking,3996
2010,Queens,Derelict Vehicles,3934
2010,Queens,Graffiti,3885
2010,Queens,Noise - Commercial,3617
2010,Queens,Snow,3524
2010,Queens,New Tree Request,3216
2010,Queens,Taxi Complaint,2857
2010,Queens,Lead,2794
2010,Queens,Noise - Street/Sidewalk,2562
2010,Queens,Noise - Vehicle,1995
2010,Queens,Highway Condition,1965
2010,Queens,Street Sign - Damaged,1860
2010,Queens,Broken Muni Meter,1606
2010,Queens,Broken Parking Meter,1539
2010,Queens,Plumbing,1305
2010,Queens,Street Sign - Missing,1291
2010,Queens,Water Conservation,1226
2010,Queens,Food Establishment,1221
2010,Queens,Other Enforcement,1121
2010,Queens,Non-Emergency Police Matter,1032
2010,Queens,Elevator,1011
2010,Queens,Air Quality,965
2010,Queens,Indoor Air Quality,845
2010,Queens,Maintenance or Facility,766
2010,Queens,Curb Condition,755
2010,Queens,Electrical,708
2010,Queens,Unsanitary Animal Pvt Property,674
2010,Queens,Vending,626
2010,Queens,Litter Basket / Request,600
2010,Queens,BEST/Site Safety,598
2010,Queens,Food Poisoning,561
2010,Queens,Street Sign - Dangling,551
2010,Queens,For Hire Vehicle Complaint,538
2010,Queens,Illegal Tree Damage,534
2010,Queens,OEM Disabled Vehicle,528
2010,Queens,Industrial Waste,501
2010,Queens,Emergency Response Team (ERT),497
2010,Queens,Bus Stop Shelter Complaint,476
2010,Queens,Hazardous Materials,474
2010,Queens,Special Projects Inspection Team (SPIT),467
2010,Queens,Investigations and Discipline (IAD),443
2010,Queens,Overflowing Litter Baskets,414
2010,Queens,Unleashed Dog,412
2010,Queens,Traffic,403
2010,Queens,Smoking,374
2010,Queens,Asbestos,351
2010,Queens,Boilers,350
2010,Queens,Drinking,336
2010,Queens,Noise - Park,330
2010,Queens,School Maintenance,290
2010,Queens,Sweeping/Missed-Inadequate,288
2010,Queens,Water Quality,279
2010,Queens,Homeless Encampment,274
2010,Queens,Public Payphone Complaint,267
2010,Queens,Noise - House of Worship,245
2010,Queens,Vacant Lot,236
2010,Queens,Non-Residential Heat,224
2010,Queens,Recycling Enforcement,223
2010,Queens,Disorderly Youth,216
2010,Queens,Unsanitary Pigeon Condition,212
2010,Queens,Window Guard,188
2010,Queens,Animal in a Park,103
2010,Queens,Posting Advertisement,97
2010,Queens,Bridge Condition,96
2010,Queens,Cranes and Derricks,83
2010,Queens,Senior Center Complaint,81
2010,Queens,Urinating in Public,75
2010,Queens,Noise - Helicopter,72
2010,Queens,Bus Stop Shelter Placement,72
2010,Queens,City Vehicle Placard Complaint,70
2010,Queens,Violation of Park Rules,63
2010,Queens,Illegal Animal Kept as Pet,62
2010,Queens,Stalled Sites,60
2010,Queens,Safety,60
2010,Queens,Illegal Fireworks,53
2010,Queens,Plant,50
2010,Queens,Bike/Roller/Skate Chronic,48
2010,Queens,Scaffold Safety,45
2010,Queens,Teaching/Learning/Instruction,42
2010,Queens,Discipline and Suspension,41
2010,Queens,Municipal Parking Facility,36
2010,Queens,Poison Ivy,34
2010,Queens,Beach/Pool/Sauna Complaint,33
2010,Queens,Collection Truck Noise,32
2010,Queens,Harboring Bees/Wasps,31
2010,Queens,Panhandling,31
2010,Queens,Mold,30
2010,Queens,Animal Facility - No Permit,29
2010,Queens,Health,29
2010,Queens,Miscellaneous Categories,27
2010,Queens,Summer Camp,22
2010,Queens,Highway Sign - Damaged,21
2010,Queens,Found Property,20
2010,Queens,Unsanitary Animal Facility,20
2010,Queens,Registration and Transfers,18
2010,Queens,Tattooing,17
2010,Queens,Drinking Water,13
2010,Queens,HEATING,12
2010,Queens,NONCONST,12
2010,Queens,Adopt-A-Basket,11
2010,Queens,Public Toilet,10
2010,Queens,Illegal Animal Sold,9
2010,Queens,GENERAL,8
2010,Queens,PLUMBING,8
2010,Queens,Highway Sign - Dangling,8
2010,Queens,Derelict Bicycle,8
2010,Queens,Parent Leadership,8
2010,Queens,Highway Sign - Missing,7
2010,Queens,GENERAL CONSTRUCTION,7
2010,Queens,ELECTRIC,6
2010,Queens,Calorie Labeling,4
2010,Queens,Bottled Water,4
2010,Queens,Transportation Provider Complaint,4
2010,Queens,PAINT - PLASTER,4
2010,Queens,APPLIANCE,3
2010,Queens,PAINT/PLASTER,3
2010,Queens,Legal Services Provider Complaint,3
2010,Queens,Lifeguard,2
2010,Queens,DOF Parking - Payment Issue,2
2010,Queens,CONSTRUCTION,1
2010,Queens,Hazardous Material,1
2010,Staten Island,Street Condition,12181
2010,Staten Island,Street Light Condition,7237
2010,Staten Island,Water System,5221
2010,Staten Island,Sewer,4747
2010,Staten Island,Damaged Tree,4368
2010,Staten Island,Noise - Residential,3171
2010,Staten Island,Missed Collection (All Materials),2925
2010,Staten Island,General Construction/Plumbing,2747
2010,Staten Island,Sanitation Condition,2403
2010,Staten Island,Overgrown Tree/Branches,2078
2010,Staten Island,Dirty Conditions,2053
2010,Staten Island,Building/Use,1921
2010,Staten Island,Snow,1920
2010,Staten Island,Traffic Signal Condition,1911
2010,Staten Island,Derelict Vehicle,1859
2010,Staten Island,Blocked Driveway,1785
2010,Staten Island,Illegal Parking,1659
2010,Staten Island,Root/Sewer/Sidewalk Condition,1532
2010,Staten Island,Rodent,1404
2010,Staten Island,Sidewalk Condition,1271
2010,Staten Island,Dead Tree,1261
2010,Staten Island,Noise,1245
2010,Staten Island,Traffic/Illegal Parking,1222
2010,Staten Island,Derelict Vehicles,866
2010,Staten Island,New Tree Request,703
2010,Staten Island,Consumer Complaint,671
2010,Staten Island,Noise - Commercial,625
2010,Staten Island,Lead,614
2010,Staten Island,Street Sign - Damaged,523
2010,Staten Island,Street Sign - Missing,444
2010,Staten Island,Plumbing,421
2010,Staten Island,Other Enforcement,389
2010,Staten Island,Noise - Street/Sidewalk,381
2010,Staten Island,Water Conservation,374
2010,Staten Island,Non-Emergency Police Matter,324
2010,Staten Island,Noise - Vehicle,322
2010,Staten Island,Food Establishment,301
2010,Staten Island,Unsanitary Animal Pvt Property,285
2010,Staten Island,Electrical,270
2010,Staten Island,Highway Condition,260
2010,Staten Island,Graffiti,256
2010,Staten Island,Maintenance or Facility,216
2010,Staten Island,Litter Basket / Request,215
2010,Staten Island,Street Sign - Dangling,206
2010,Staten Island,Air Quality,205
2010,Staten Island,Curb Condition,190
2010,Staten Island,Industrial Waste,172
2010,Staten Island,Illegal Tree Damage,169
2010,Staten Island,Unleashed Dog,169
2010,Staten Island,Broken Muni Meter,149
2010,Staten Island,BEST/Site Safety,147
2010,Staten Island,Food Poisoning,146
2010,Staten Island,Hazardous Materials,139
2010,Staten Island,Bus Stop Shelter Complaint,127
2010,Staten Island,Vacant Lot,127
2010,Staten Island,Elevator,119
2010,Staten Island,Traffic,119
2010,Staten Island,Indoor Air Quality,114
2010,Staten Island,Disorderly Youth,106
2010,Staten Island,School Maintenance,106
2010,Staten Island,Emergency Response Team (ERT),95
2010,Staten Island,Drinking,90
2010,Staten Island,Special Projects Inspection Team (SPIT),90
2010,Staten Island,Investigations and Discipline (IAD),89
2010,Staten Island,Overflowing Litter Baskets,88
2010,Staten Island,Broken Parking Meter,81
2010,Staten Island,Water Quality,80
2010,Staten Island,Smoking,77
2010,Staten Island,Recycling Enforcement,77
2010,Staten Island,Asbestos,76
2010,Staten Island,Special Natural Area District (SNAD),74
2010,Staten Island,OEM Disabled Vehicle,71
2010,Staten Island,For Hire Vehicle Complaint,70
2010,Staten Island,Noise - Park,53
2010,Staten Island,Unsanitary Pigeon Condition,50
2010,Staten Island,Window Guard,46
2010,Staten Island,Boilers,44
2010,Staten Island,Animal in a Park,37
2010,Staten Island,Plant,33
2010,Staten Island,Stalled Sites,32
2010,Staten Island,Beach/Pool/Sauna Complaint,31
2010,Staten Island,Homeless Encampment,31
2010,Staten Island,Non-Residential Heat,30
2010,Staten Island,Public Payphone Complaint,30
2010,Staten Island,Vending,28
2010,Staten Island,Poison Ivy,27
2010,Staten Island,Taxi Complaint,26
2010,Staten Island,Illegal Fireworks,22
2010,Staten Island,Senior Center Complaint,21
2010,Staten Island,Municipal Parking Facility,20
2010,Staten Island,Harboring Bees/Wasps,19
2010,Staten Island,Bus Stop Shelter Placement,19
2010,Staten Island,HEATING,18
2010,Staten Island,Sweeping/Missed-Inadequate,16
2010,Staten Island,City Vehicle Placard Complaint,16
2010,Staten Island,Violation of Park Rules,15
2010,Staten Island,Safety,15
2010,Staten Island,Urinating in Public,14
2010,Staten Island,Illegal Animal Kept as Pet,13
2010,Staten Island,Posting Advertisement,13
2010,Staten Island,Scaffold Safety,12
2010,Staten Island,Noise - Helicopter,11
2010,Staten Island,Panhandling,11
2010,Staten Island,Cranes and Derricks,11
2010,Staten Island,Teaching/Learning/Instruction,11
2010,Staten Island,Health,11
2010,Staten Island,Bike/Roller/Skate Chronic,10
2010,Staten Island,Summer Camp,9
2010,Staten Island,Mold,8
2010,Staten Island,Noise - House of Worship,8
